model,sleep_stage,precision,recall,f1_score
Random Forest,Wake,0.8369607013766054,0.9260551395507147,0.8792567158149869
Random Forest,N1,0.3760245901639344,0.21449444769140855,0.2731671008559732
Random Forest,N2,0.7876364242272765,0.8408039843472074,0.813352260506732
Random Forest,N3,0.7738581507612329,0.7808167853128513,0.7773218948153674
Random Forest,REM,0.6750202101859337,0.5859649122807018,0.6273478587528174
Compact 1D CNN,Wake,0.9692682926829268,0.8453880190605855,0.9030997182074357
Compact 1D CNN,N1,0.3752711496746204,0.5561075394506136,0.4481337572118215
Compact 1D CNN,N2,0.8741242410088743,0.6657773034507293,0.7558562197092084
Compact 1D CNN,N3,0.4946871310507674,0.941925814911952,0.6486904915494774
Compact 1D CNN,REM,0.7547212741751991,0.775906432748538,0.7651672433679354
